[2025-03-07 10:00:32.870] [info]  DiscordSplash.signalReady
[2025-03-07 10:00:32.878] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-03-07 10:00:32.878] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-03-07 10:00:32.878] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-03-07 10:00:32.879] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-03-07 10:00:32.881] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-03-07 10:00:32.881] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-03-07 10:00:32.889] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-03-07 10:00:32.889] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-03-07 10:00:32.890] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-03-07 10:00:32.890] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-03-07 10:00:32.890] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-03-07 10:00:32.890] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-03-07 10:00:32.891] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-03-07 10:00:32.891] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-03-07 10:00:33.130] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-03-07 10:00:33.130] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-03-07 10:00:33.362] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-03-07 10:00:33.363] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-03-07 10:00:33.369] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-03-07 10:00:33.369] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-03-07 10:00:33.375] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
